name,date,open,high,low,close,volume
FB,02-Jan-2015,78.580002,78.93,77.699997,78.449997,18177500
FB,05-Jan-2015,77.980003,79.25,75.360001,77.739998,24202900
FB,12-Jan-2015,77.839996,78.080002,73.540001,75.18,25242700
FB,20-Jan-2015,75.720001,78.190002,74.82,77.830002,21046000
FB,26-Jan-2015,77.980003,78.470001,74.209999,75.910004,39324000
FB,02-Feb-2015,76.110001,76.349998,73.75,74.470001,25048400
FB,09-Feb-2015,74.050003,76.870003,73.449997,75.739998,17747900
FB,17-Feb-2015,75.300003,80.339996,75.080002,79.900002,32615900
FB,23-Feb-2015,79.959999,81.370003,78.099998,78.970001,26096200
FB,02-Mar-2015,79,81.989998,78.519997,80.010002,24147700
FB,09-Mar-2015,79.68,79.910004,77.260002,78.050003,19371700
FB,16-Mar-2015,77.959999,84.599998,77.360001,83.800003,32990700
FB,23-Mar-2015,83.919998,86.07,82.139999,83.300003,29707400
FB,30-Mar-2015,83.809998,84.339996,80.870003,81.559998,21496000
FB,06-Apr-2015,80.800003,83.419998,80.800003,82.040001,16790700
FB,13-Apr-2015,81.93,83.940002,80.370003,80.779999,21350800
FB,20-Apr-2015,81.540001,85.589996,81.239998,81.529999,40981000
FB,27-Apr-2015,81.870003,82.93,78.110001,78.989998,25757400
FB,04-May-2015,79.330002,79.690002,77.050003,78.510002,21071800
FB,11-May-2015,78.480003,81.849998,76.790001,80.419998,27635900
FB,18-May-2015,80.330002,81.690002,79.459999,80.540001,19119300
FB,26-May-2015,80.43,81.07,78.879997,79.190002,14649700
FB,01-Jun-2015,79.300003,82.949997,78.660004,82.139999,21164800
FB,08-Jun-2015,81.82,82.900002,79.32,81.529999,17003700
FB,15-Jun-2015,80.550003,83.190002,80.07,82.510002,20196900
FB,22-Jun-2015,83.410004,89.400002,83.309998,88.010002,37387500
FB,29-Jun-2015,86.610001,87.949997,85.57,87.290001,25339900
FB,06-Jul-2015,86.489998,88.220001,85.230003,87.949997,25729600
FB,13-Jul-2015,88.660004,95.389999,88.419998,94.970001,32659300
FB,20-Jul-2015,95.849998,99.239998,94.809998,96.949997,37095400
FB,27-Jul-2015,96.580002,97.279999,91.800003,94.010002,54238000
FB,03-Aug-2015,93.529999,98.739998,92.800003,94.300003,28952500
FB,10-Aug-2015,95.68,95.900002,91.190002,94.419998,20909400
FB,17-Aug-2015,94.419998,96.099998,85.610001,86.059998,34244100
FB,24-Aug-2015,77.029999,91.480003,72,91.010002,51300700
FB,31-Aug-2015,90.599998,91.050003,86.5,88.260002,30103100
FB,08-Sep-2015,89.690002,92.080002,88.830002,92.050003,26796500
FB,14-Sep-2015,92.309998,95.510002,91.599998,94.400002,29090000
FB,21-Sep-2015,94.620003,96.489998,91.919998,92.769997,29089500
FB,28-Sep-2015,92.080002,92.290001,85.720001,92.07,37363200
FB,05-Oct-2015,92.940002,94.269997,90.470001,93.239998,24242700
FB,12-Oct-2015,93.32,97.589996,92.669998,97.540001,22030700
FB,19-Oct-2015,97.18,102.849998,96.470001,102.190002,29146200
FB,26-Oct-2015,102.199997,105.120003,101.550003,101.970001,25528400
FB,02-Nov-2015,101.720001,110.650002,101.18,107.099998,37406500
FB,09-Nov-2015,107,109.870003,103.830002,103.949997,25535000
FB,16-Nov-2015,103.32,107.879997,100.470001,107.32,29520600
FB,23-Nov-2015,107.190002,107.470001,104.389999,105.449997,16131200
FB,30-Nov-2015,105.839996,107.919998,103.349998,106.18,22226400
FB,07-Dec-2015,106.480003,106.910004,101.910004,102.120003,20518500
FB,14-Dec-2015,102.290001,107.75,101.459999,104.040001,25068600
FB,21-Dec-2015,104.910004,106.110001,103.599998,105.019997,14042200
FB,28-Dec-2015,105.019997,107.739998,104.529999,104.660004,15392300
GOOGL,02-Jan-2015,532.599976,535.799988,527.880005,529.549988,1324000
GOOGL,05-Jan-2015,527.150024,527.98999,495.019989,500.720001,2576100
GOOGL,12-Jan-2015,499.23999,510.850006,490.910004,510.459991,2701500
GOOGL,20-Jan-2015,512.77002,545.409973,509.369995,541.950012,2439800
GOOGL,26-Jan-2015,541.5,543.099976,503.480011,537.549988,3060200
GOOGL,02-Feb-2015,534.320007,540.219971,521.719971,533.880005,2324500
GOOGL,09-Feb-2015,531.059998,552.539978,527.549988,551.159973,2120200
GOOGL,17-Feb-2015,551.159973,553,538.099976,541.799988,1742500
GOOGL,23-Feb-2015,539,569.419983,531,562.630005,2245000
GOOGL,02-Mar-2015,567,583.200012,563.150024,572.900024,2124000
GOOGL,09-Mar-2015,570.919983,575.450012,550.330017,553,1751100
GOOGL,16-Mar-2015,556.929993,567.099976,551.320007,564.950012,1700500
GOOGL,23-Mar-2015,566,581.880005,556.929993,557.549988,2468500
GOOGL,30-Mar-2015,560.25,562.450012,540.440002,541.309998,1829700
GOOGL,06-Apr-2015,538.840027,551.5,535.700012,548.539978,1478900
GOOGL,13-Apr-2015,547.049988,553.27002,529,532.73999,2044500
GOOGL,20-Apr-2015,533.75,584.700012,533.349976,573.659973,2697900
GOOGL,27-Apr-2015,572.77002,575.52002,543.849976,551.159973,2026700
GOOGL,04-May-2015,550.98999,556.690002,532.23999,548.950012,1628900
GOOGL,11-May-2015,548.48999,553.369995,535,546.48999,1465500
GOOGL,18-May-2015,543.820007,558.23999,542.25,554.52002,1631000
GOOGL,26-May-2015,552.580017,555.76001,542.969971,545.320007,1741300
GOOGL,01-Jun-2015,548.72998,558.789978,543.580017,549.530029,1429300
GOOGL,08-Jun-2015,549.609985,554.830017,538.849976,547.469971,1390000
GOOGL,15-Jun-2015,542.72998,557.909973,539.210022,557.52002,1845900
GOOGL,22-Jun-2015,559.409973,565.609985,551.849976,553.059998,1654300
GOOGL,29-Jun-2015,546.75,550.900024,539.539978,547.340027,1639300
GOOGL,06-Jul-2015,542.25,559.289978,539.849976,556.109985,1598900
GOOGL,13-Jul-2015,559.51001,703,558.700012,699.619995,5278900
GOOGL,20-Jul-2015,688.97998,713.330017,653.179993,654.77002,4199900
GOOGL,27-Jul-2015,651.570007,668.049988,651.549988,657.5,2040300
GOOGL,03-Aug-2015,657.659973,679.909973,657.659973,664.390015,1621800
GOOGL,10-Aug-2015,667.090027,704,660.22998,689.369995,2667800
GOOGL,17-Aug-2015,688.039978,700.200012,643.099976,644.030029,2521400
GOOGL,24-Aug-2015,600.599976,673.97998,593.090027,659.690002,3867600
GOOGL,31-Aug-2015,654.340027,664.409973,625.059998,628.960022,2030700
GOOGL,08-Sep-2015,641,657.359985,632.900024,655.299988,1785100
GOOGL,14-Sep-2015,655.630005,681.98999,649.5,660.919983,2120300
GOOGL,21-Sep-2015,665.51001,669,639.659973,640.150024,2097800
GOOGL,28-Sep-2015,639.049988,657,617.840027,656.98999,2340200
GOOGL,05-Oct-2015,661.599976,678.799988,654.48999,671.23999,1965200
GOOGL,12-Oct-2015,669.190002,696.219971,667.23999,695.320007,1838900
GOOGL,19-Oct-2015,694,752.5,670.700012,719.330017,3297400
GOOGL,26-Oct-2015,720.02002,746.789978,720.02002,737.390015,2036600
GOOGL,02-Nov-2015,734.530029,766.349976,731.450012,761.599976,1970900
GOOGL,09-Nov-2015,758.52002,769.080017,739.469971,740.070007,1908400
GOOGL,16-Nov-2015,740.210022,779.320007,734.330017,777,2093900
GOOGL,23-Nov-2015,777.469971,782.900024,758.109985,771.969971,1507100
GOOGL,30-Nov-2015,771.869995,793.049988,761.119995,779.210022,2126100
GOOGL,07-Dec-2015,780.059998,781,748.650024,750.419983,1897700
GOOGL,14-Dec-2015,751.26001,781.590027,736.26001,756.849976,2606700
